"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","in_reply_to_screen_name"
"Thu Nov 14 07:23:39 +0000 2024","1856961176489304429","The Government is spending trillions of dollars to get cables all over the country. Elon Musk can do it for nothing using Starlink. The government spent $4 billion and connected people in over 1 days. 一 Donald Trump https://t.co/BvxPljI4 ","26","252","867","3544","en","1389913567671975937","1856961176489304429","cb_doge","https://x.com/cb_doge/status/1856961176489304429","https://pbs.twimg.com/amplify_video_thumb/1849998466447028224/img/lrqmcFMfXJj8R8ex.jpg","Dogecoin.com",""
"Thu Nov 14 11:04:11 +0000 2024","1857016676119699603","If we succeed in achieving our objectives at DOGE I expect that a higher % of the nation s smartest &amp; most ambitious graduates will end up working in the government for finite periods of time instead of just flocking to Silicon Valley &amp; Wall Street. This will be a good thing.","181","1218","2580","25643","en","1227799690579718144","1857016676119699603","VivekGRamaswamy","https://x.com/VivekGRamaswamy/status/1857016676119699603","","Ohio, USA",""
"Thu Nov 14 14:16:52 +0000 2024","1857065163418980742","It's time to announce the long awaited $LXP Airdrop Pre-Registration Claim your bonus LXP-L with x3 multiplier Learn more: https://t.co/SPOWluBvA7 You only have 4 hours left to get bonus https://t.co/IbnzaA MML","0","9","9","9","en","1846792193320841216","1857065163418980742","maytioloper1975","https://x.com/maytioloper1975/status/1857065163418980742","https://pbs.twimg.com/ext_tw_video_thumb/1857065156242452480/pu/img/ZLUk9AdvgtIGTl-W.jpg","",""
"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","in_reply_to_screen_name"
"Wed Nov 13 01:02:11 +0000 2024","1856502787930050927","https://t.co/Vnk4MCAofY","17633","45238","105531","839289","zxx","44196397","1856502787930050927","elonmusk","https://x.com/elonmusk/status/1856502787930050927","https://pbs.twimg.com/media/GcOfcj2WEAAKp7Q.jpg","",""
"Wed Nov 13 19:36:39 +0000 2024","1856783252071354727","Working overtime to ensure your tax dollars will be spent wisely!","4952","17456","27412","224006","en","1856751787644260354","1856783252071354727","DOGE","https://x.com/DOGE/status/1856783252071354727","","",""
"Thu Nov 14 05:03:20 +0000 2024","1856925863725412706","@SenWarren nlike you neither of us are being paid so it is very efficient indeed. @DOGE will do great things for the American people. Let history be the judge.","359","1547","4804","44712","en","44196397","1856541693836734783","elonmusk","https://x.com/elonmusk/status/1856925863725412706","","","SenWarren"
"Sun Nov 10 08:17:06 +0000 2024","1855525073089626342"," I'm the largest individual taxpayer in history so I paid $1 billion in tax. I sort of thought maybe the IRS would send me a little trophy or something but I didn't get anything. Not even a cookie. 一 Elon Musk https://t.co/rypLDuWt5D","196","798","5223","31876","en","1389913567671975937","1855525073089626342","cb_doge","https://x.com/cb_doge/status/1855525073089626342","https://pbs.twimg.com/amplify_video_thumb/1850358268670935041/img/qlDoRJG445U_xE38.jpg","Dogecoin.com",""
"Thu Nov 14 06:06:01 +0000 2024","1856941638943121837"," I want no pay no awards no recognition or fancy title. I just want America to reach greater heights. 一 Elon Musk https://t.co/Dcv4irEpDu","285","1250","7547","51004","en","1389913567671975937","1856941638943121837","cb_doge","https://x.com/cb_doge/status/1856941638943121837","https://pbs.twimg.com/media/GcUukuBbkAA8pBb.jpg","Dogecoin.com",""
"Thu Nov 14 13:19:41 +0000 2024","1857050774288670736","Looks like a lot of opportunity for @DOGE!","200","1847","3416","21865","en","44196397","1857050774288670736","elonmusk","https://x.com/elonmusk/status/1857050774288670736","","",""
"Wed Nov 13 00:59:38 +0000 2024","1856502145534570611","Preview of Elon and Vivek working at DOGE (Department of Government Efficiency): https://t.co/IP uqDOilg","885","1120","12284","92615","en","1552795969959636992","1856502145534570611","EndWokeness","https://x.com/EndWokeness/status/1856502145534570611","https://pbs.twimg.com/amplify_video_thumb/1856501917792215040/img/91ypx-nAOYGgslgy.jpg","",""
"Wed Nov 13 19:49:23 +0000 2024","1856786457698210131","It begins","1023","10060","24888","228355","en","44196397","1856786457698210131","elonmusk","https://x.com/elonmusk/status/1856786457698210131","","",""
"Thu Nov 14 12:15:30 +0000 2024","1857034620568469543","DOGE is going to look into whether it's possible for one agent to just carry the log the whole way https://t.co/xFpWFGyXBI","41","133","281","2902","en","36996328","1857034620568469543","jeremykauffman","https://x.com/jeremykauffman/status/1857034620568469543","https://pbs.twimg.com/ext_tw_video_thumb/1847026164985962496/pu/img/LpwdIdCZM5dsbkIV.jpg","The Free State",""
"Wed Nov 13 04:09:14 +0000 2024","1856549860616368246","The moment Vivek comes to know - He is the DOGE! https://t.co/rCDTgcVCGG","78","18","3305","20842","en","1631004519583858688","1856549860616368246","TheReportX","https://x.com/TheReportX/status/1856549860616368246","https://pbs.twimg.com/ext_tw_video_thumb/1856549796300865536/pu/img/bEO4zvS8AagkperM.jpg","",""
"Thu Nov 14 14:15:39 +0000 2024","1857064858581148090","‍️ https://t.co/tEluETtw s","0","9","9","10","qme","1846755389385121792","1857064858581148090","ininenox1976","https://x.com/ininenox1976/status/1857064858581148090","https://pbs.twimg.com/ext_tw_video_thumb/1857064850842640384/pu/img/LkpNb2HNUbS2gVCF.jpg","",""
"Thu Nov 14 05:53:54 +0000 2024","1856938587293450312","I m cracking up so badly listening to serious WSJ journalists pronounce DOGE in their professional radio broadcasting voice in the context of a serious news bit and part of me cannot believe that it all started from a meme A govt agency was memed into existence Much wow https://t.co/fTte otQiy","95","432","652","5258","en","134976379","1856938587293450312","MsMelChen","https://x.com/MsMelChen/status/1856938587293450312","https://pbs.twimg.com/media/GcUrzYBXAAAGg70.jpg","London, England",""
"Wed Nov 13 01:15:43 +0000 2024","1856506194246152531","POV: Elon and Vivek on the first day of Department of Government Efficiency (DOGE) https://t.co/wFR rZR Qz","30","56","204","2057","en","945817135816654848","1856506194246152531","TrungTPhan","https://x.com/TrungTPhan/status/1856506194246152531","https://pbs.twimg.com/ext_tw_video_thumb/1856497650536763393/pu/img/QqbWdJKMSxhmkpnv.jpg","My Saturday newsletter ➡️",""
"Thu Nov 14 14:00:02 +0000 2024","1857060929935937743","America s 5 th anniversary is on July 4 . DOGE will deliver our nation the birthday gift of a government that s actually accountable to its people rather than the other way around. https://t.co/4 ft akLmT","52","304","844","5823","en","1227799690579718144","1857060929935937743","VivekGRamaswamy","https://x.com/VivekGRamaswamy/status/1857060929935937743","https://pbs.twimg.com/ext_tw_video_thumb/1856888637863907328/pu/img/Y8DNkidQyuZTPhSb.jpg","Ohio, USA",""
"Wed Nov 13 16:42:16 +0000 2024","1856739369824215213","Elon Musk firing 8 % of the staff on Day 1 at DOGE: https://t.co/ kMoX 5mx ","458","1479","6153","45224","en","1389913567671975937","1856739369824215213","cb_doge","https://x.com/cb_doge/status/1856739369824215213","https://pbs.twimg.com/amplify_video_thumb/1856738610898513920/img/cIXnjDKYQn2qkdA-.jpg","Dogecoin.com",""
"Thu Nov 14 13:25:38 +0000 2024","1857052271361589277","Time to fix the country through DOGE https://t.co/OTZTxr Oo ","26","405","247","2215","en","1389913567671975937","1857052271361589277","cb_doge","https://x.com/cb_doge/status/1857052271361589277","https://pbs.twimg.com/media/GcWTMEXXUAAkjdM.jpg","Dogecoin.com",""
"Thu Nov 14 06:40:59 +0000 2024","1856950439188595125","@realDonaldTrump @DOGE","73","865","884","10202","qam","44196397","1856658569124262092","elonmusk","https://x.com/elonmusk/status/1856950439188595125","","","realDonaldTrump"
"Thu Nov 14 07:23:39 +0000 2024","1856961176489304429","The Government is spending trillions of dollars to get cables all over the country. Elon Musk can do it for nothing using Starlink. The government spent $4 billion and connected people in over 1 days. 一 Donald Trump https://t.co/BvxPljI4 ","26","252","867","3544","en","1389913567671975937","1856961176489304429","cb_doge","https://x.com/cb_doge/status/1856961176489304429","https://pbs.twimg.com/amplify_video_thumb/1849998466447028224/img/lrqmcFMfXJj8R8ex.jpg","Dogecoin.com",""
"Thu Nov 14 11:04:11 +0000 2024","1857016676119699603","If we succeed in achieving our objectives at DOGE I expect that a higher % of the nation s smartest &amp; most ambitious graduates will end up working in the government for finite periods of time instead of just flocking to Silicon Valley &amp; Wall Street. This will be a good thing.","181","1218","2580","25643","en","1227799690579718144","1857016676119699603","VivekGRamaswamy","https://x.com/VivekGRamaswamy/status/1857016676119699603","","Ohio, USA",""
"Thu Nov 14 14:16:52 +0000 2024","1857065163418980742","It's time to announce the long awaited $LXP Airdrop Pre-Registration Claim your bonus LXP-L with x3 multiplier Learn more: https://t.co/SPOWluBvA7 You only have 4 hours left to get bonus https://t.co/IbnzaA MML","0","9","9","9","en","1846792193320841216","1857065163418980742","maytioloper1975","https://x.com/maytioloper1975/status/1857065163418980742","https://pbs.twimg.com/ext_tw_video_thumb/1857065156242452480/pu/img/ZLUk9AdvgtIGTl-W.jpg","",""
